id_choque,tipo_choque,data_choque,hora_choque,latitude_choque,longitude_choque,velocidade_choque,posicao_choque,trecho_choque,forca_maxima_choque,ACT_choque,PEG_choque,id_vagao,id_viagem,tipo_engate
7230,0,16/10/2022,18:41:52,-21.89873715,-48.07851115,13.32,231.23,T2,136.9311058,22.64773346,91.10338791,473,5,F
7231,0,16/10/2022,18:41:52,-21.89875888,-48.07850528,13.32,231.22655,T2,139.3693611,25.0848841,91.12895213,473,5,F
7232,0,16/10/2022,18:41:53,-21.8987696,-48.0785026,13.32,231.2232,T2,136.4007852,24.9538383,91.1317926,473,5,F
7233,0,16/10/2022,18:41:53,-21.89877616,-48.07850096,13.32,231.22115,T2,137.6869649,24.3272285,91.1317926,473,5,F
7234,0,16/10/2022,18:41:53,-21.89878576,-48.07849856,13.32,231.22,T2,136.7665235,23.31200011,91.14883541,473,5,F
7235,0,16/10/2022,18:41:54,-21.89882564,-48.07848804,13.1616,231.22,T2,138.6744583,22.65074601,91.15735682,473,5,F
7236,0,16/10/2022,18:41:55,-21.89885949,-48.07848009,12.96,231.2151,T2,136.4861242,21.516522,91.11474978,473,5,F
7237,0,16/10/2022,18:41:56,-21.89889033,-48.07847313,12.96,231.21,T2,136.1569597,22.10698124,91.12611166,473,5,F
7238,0,16/10/2022,18:41:57,-21.8988939,-48.0784721,12.96,231.21,T2,137.4553307,22.18681374,91.11048908,473,5,F
7239,0,16/10/2022,18:41:57,-21.898897,-48.0784712,12.96,231.21,T2,137.3517048,22.21242039,91.08776533,473,5,F
7240,0,16/10/2022,18:41:57,-21.89890041,-48.07847021,12.96,231.21,T2,136.6141326,22.34647874,91.11759025,473,5,F
7241,0,16/10/2022,18:41:57,-21.89890953,-48.07846764,12.9762,231.21,T2,139.0645792,23.06497124,91.10764861,473,5,F
7242,0,16/10/2022,18:41:58,-21.89893384,-48.07846192,13.2336,231.21,T2,139.2779265,24.28204029,91.11617002,473,5,F
7243,0,16/10/2022,18:42:00,-21.89899017,-48.07844746,13.1382,231.2,T2,140.1435071,23.14781629,91.15309611,473,5,F
7244,0,16/10/2022,18:42:13,-21.8994048,-48.07832408,12.96,231.15335,T2,138.2904331,23.72020024,91.11190932,473,5,F
