id_choque,tipo_choque,data_choque,hora_choque,latitude_choque,longitude_choque,velocidade_choque,posicao_choque,trecho_choque,forca_maxima_choque,ACT_choque,PEG_choque,id_vagao,id_viagem,tipo_engate
1,0,09/09/2022,17:53:12,-7.92248918,-38.25913973,10.08,380.21,T3,138.5361399,14.80786796,88.19438049,23,1,E
2,0,09/09/2022,17:53:13,-7.92249382,-38.25912523,10.08,380.21,T3,139.8999733,15.08140775,88.21980438,23,1,E
3,0,09/09/2022,17:53:14,-7.92250074,-38.25910244,10.2888,380.21,T3,136.2487658,16.46240382,88.23957852,23,1,E
4,0,09/09/2022,17:53:15,-7.92251166,-38.25906842,10.44,380.21,T3,140.1577056,15.79375098,88.27771436,23,1,E
5,0,09/09/2022,17:53:16,-7.92252242,-38.25903365,10.4994,380.2,T3,138.3106241,13.99104773,88.23957852,23,1,E
6,0,09/09/2022,17:53:17,-7.92252634,-38.25902042,10.6758,380.2,T3,138.3106241,15.57909822,88.2353412,23,1,E
7,0,09/09/2022,17:53:17,-7.92252982,-38.25900894,10.8,380.2,T3,136.2648741,15.86403551,88.2240417,23,1,E
8,0,10/09/2022,06:17:56,-8.886244635,-36.48294843,12.96,117.71,T3,139.7388906,13.72510626,89.25512172,24,1,E
9,0,10/09/2022,06:17:56,-8.886247225,-36.48293548,12.96,117.71,T3,140.7161255,13.8257841,89.24523466,24,1,E
10,0,10/09/2022,06:17:57,-8.886258725,-36.48288535,12.96,117.7,T3,136.6138866,13.43067106,89.28619537,24,1,E
11,0,10/09/2022,06:17:57,-8.886259495,-36.48288161,12.96,117.7,T3,137.0112238,13.394579,89.28760781,24,1,E
12,0,10/09/2022,06:17:58,-8.886260195,-36.48287821,12.96,117.7,T3,137.3226504,13.36608528,89.26924611,24,1,E
13,0,10/09/2022,06:17:58,-8.88626114,-36.48287362,12.96,117.7,T3,136.162855,13.26730702,89.26359635,24,1,E
14,0,10/09/2022,06:17:58,-8.88626163,-36.48287124,12.96,117.7,T3,137.4300388,13.27680492,89.26924611,24,1,E
15,0,10/09/2022,06:17:58,-8.88626424,-36.48285745,12.96,117.69805,T3,140.5174569,13.39077984,89.25653416,24,1,E
16,0,10/09/2022,06:17:58,-8.8862649,-36.4828536,12.96,117.69695,T3,139.7603683,13.36418569,89.24382222,24,1,E
